Maker,Genmodel,Genmodel_ID,Year,Entry_price
Abarth,124 Spider,2_1,2016,29365
Abarth,500,2_2,2009,13400
Abarth,500C,2_3,2010,17290
Abarth,595,2_4,2012,17500
Abarth,695,2_6,2016,20105
Abarth,Grande Punto,2_8,2008,13355
Abarth,Punto Evo,2_9,2010,16320
Alfa Romeo,147,4_1,2001,12805
Alfa Romeo,Giulia,4_10,2016,28995
Alfa Romeo,Giulietta,4_11,2010,16815
Alfa Romeo,GT,4_12,2004,20802
Alfa Romeo,GTV,4_13,1998,21769
Alfa Romeo,MiTo,4_14,2009,10570
Alfa Romeo,Spider,4_15,1998,23156
Alfa Romeo,Stelvio,4_16,2017,33775
Alfa Romeo,156,4_2,1998,17423
Alfa Romeo,159,4_4,2006,18347
Alfa Romeo,166,4_6,1998,23196
Alfa Romeo,4C,4_7,2014,44765
Alfa Romeo,Brera,4_9,2006,22572
Aston Martin,Virage,6_10,2010,149995
Aston Martin,DB11,6_2,2016,157900
Aston Martin,DB7,6_3,1998,84950
Aston Martin,DB9,6_4,2004,103711
Aston Martin,DBS,6_5,2008,160887
Aston Martin,Rapide,6_6,2010,140837
Aston Martin,Vanquish,6_8,2001,158711
Aston Martin,Vantage,6_9,2005,80706
Audi,A1,7_1,2010,13090
Audi,A6,7_11,1998,22970
Audi,A7,7_15,2010,42760
Audi,A8,7_16,1998,36420
Audi,Q2,7_18,2016,20175
Audi,Q3,7_19,2011,24390
Audi,A2,7_2,2000,13770
Audi,Q5,7_20,2008,26845
Audi,Q7,7_21,2006,37077
Audi,R8,7_23,2007,76475
Audi,A3,7_3,1998,15051
Audi,TT,7_46,1999,26470
Audi,Q8,7_49,2018,63745
Audi,A4,7_5,1998,16879
Audi,A5,7_9,2007,25975
Bentley,Arnage,10_1,1998,145000
Bentley,Bentayga,10_3,2015,160200
Bentley,Brooklands,10_4,2007,230000
Bentley,Continental,10_5,2003,110000
Bentley,Flying Spur,10_6,2012,140900
Bentley,Mulsanne,10_7,2010,220000
BMW,1 Series,8_1,2004,15507
BMW,6 Series,8_11,2004,45057
BMW,7 Series,8_14,1998,36300
BMW,Alpina B3,8_16,2012,55285
BMW,Alpina B5,8_18,2010,69695
BMW,Alpina B6,8_19,2011,92005
BMW,2 Series,8_2,2013,24210
BMW,Alpina D5 Bi-Turbo,8_23,2011,55730
BMW,i3,8_27,2013,30625
BMW,i8,8_28,2014,99790
BMW,X1,8_35,2009,23150
BMW,X2,8_36,2017,29780
BMW,X3,8_37,2004,25972
BMW,X4,8_38,2014,36395
BMW,X5,8_39,2000,32820
BMW,X6,8_41,2008,41700
BMW,Z3,8_43,1998,21330
BMW,Z4,8_45,2003,24070
BMW,3 Series,8_5,1998,14520
BMW,4 Series,8_7,2013,29005
BMW,5 Series,8_9,1998,24230
Cadillac,BLS,14_1,2005,20500
Cadillac,CTS,14_2,2005,24625
Cadillac,Escalade,14_3,2005,44647
Cadillac,SRX,14_4,2006,29647
Cadillac,STS,14_5,2008,33540
Chevrolet,Kalos,16_10,2004,6832
Chevrolet,Lacetti,16_11,2004,9312
Chevrolet,Matiz,16_12,2004,5832
Chevrolet,Orlando,16_13,2010,16090
Chevrolet,Spark,16_14,2010,6890
Chevrolet,Tacuma,16_16,2005,10792
Chevrolet,Trax,16_18,2012,15265
Chevrolet,Volt,16_19,2012,34940
Chevrolet,Aveo,16_2,2008,7520
Chevrolet,Blazer,16_3,1999,22075
Chevrolet,Camaro,16_4,2011,33940
Chevrolet,Captiva,16_5,2007,16740
Chevrolet,Cruze,16_7,2009,11790
Chevrolet,Epica,16_8,2008,13330
Chrysler,300C,17_1,2005,25542
Chrysler,Ypsilon,17_10,2011,10640
Chrysler,Crossfire,17_2,2003,27075
Chrysler,Delta,17_3,2011,16510
Chrysler,Grand Voyager,17_4,1998,21745
Chrysler,Neon,17_5,1998,11820
Chrysler,PT Cruiser,17_7,2000,14815
Chrysler,Sebring,17_8,2001,22815
Chrysler,Voyager,17_9,1998,18245
Citroen,C3 Picasso,18_10,2009,11290
Citroen,C3 Pluriel,18_11,2003,11845
Citroen,C4,18_12,2004,10932
Citroen,C4 Cactus,18_13,2014,12935
Citroen,C4 Picasso,18_14,2007,14267
Citroen,C5,18_15,2001,14430
Citroen,C6,18_16,2006,27847
Citroen,C8,18_17,2003,18115
Citroen,Dispatch,18_18,2006,18379
Citroen,Berlingo,18_2,1998,10660
Citroen,Grand C4 Picasso,18_24,2007,14767
Citroen,Nemo Multispace,18_25,2008,9795
Citroen,Saxo,18_26,1998,6845
Citroen,SpaceTourer,18_27,2016,27750
Citroen,Synergie,18_28,1998,16200
Citroen,Xsara,18_29,1998,9845
Citroen,Berlingo Multispace,18_3,2008,10730
Citroen,Xsara Picasso,18_30,2000,13420
Citroen,Xantia,18_31,1998,11370
Citroen,C-Crosser,18_4,2007,19730
Citroen,C-Zero,18_5,2010,33100
Citroen,C1,18_6,2005,6382
Citroen,C2,18_7,2003,7365
Citroen,C3,18_8,2002,8370
Citroen,C3 Aircross,18_9,2017,13780
Corvette,C6,19_1,2005,45647
Corvette,Stingray,19_3,2013,60375
Dacia,Duster,22_1,2012,8770
Dacia,Logan MCV,22_2,2012,6815
Dacia,Sandero,22_3,2012,5820
Daewoo,Kalos,23_1,2002,7345
Daewoo,Lacetti,23_2,2004,9312
Daewoo,Matiz,23_3,1998,6145
Daewoo,Nubira,23_4,1998,11845
Daewoo,Tacuma,23_5,2000,10815
Daewoo,Lanos,23_6,1998,8315
Daewoo,Leganza,23_7,1998,13645
Daewoo,Musso,23_8,1998,17820
Daihatsu,Charade,24_2,1998,7655
Daihatsu,Copen,24_3,2004,12832
Daihatsu,Cuore,24_4,1998,5820
Daihatsu,Fourtrak,24_5,1998,14250
Daihatsu,Materia,24_6,2007,10780
Daihatsu,Sirion,24_7,1998,7820
Daihatsu,Terios,24_8,1998,12120
Daihatsu,YRV,24_9,2001,7870
Dodge,Avenger,26_1,2007,14780
Dodge,Caliber,26_2,2006,11307
Dodge,Journey,26_5,2008,16730
Dodge,Nitro,26_6,2007,18645
DS,3,21_1,2010,11525
DS,4,21_3,2011,17965
DS,5,21_5,2011,22345
Ferrari,612,27_11,2004,170500
Ferrari,812 Superfast,27_12,2017,260908
Ferrari,California,27_13,2008,139825
Ferrari,F12berlinetta,27_16,2012,238232
Ferrari,F355,27_17,1998,99064
Ferrari,F430,27_18,2005,118297
Ferrari,FF,27_19,2011,225171
Ferrari,360,27_2,1999,101244
Ferrari,Gtc4lusso,27_20,2019,198110
Ferrari,Portofino,27_23,2019,164425
Ferrari,456,27_4,1998,167714
Ferrari,458,27_6,2010,168541
Ferrari,488,27_7,2015,182809
Ferrari,550,27_8,1998,149701
Fiat,124 Spider,28_1,2016,19345
Fiat,Bravo,28_10,1998,9815
Fiat,Croma,28_11,2005,14807
Fiat,Doblo,28_12,2001,8530
Fiat,Fiorino,28_13,2007,10680
Fiat,Grande Punto,28_15,2006,7351
Fiat,Idea,28_16,2004,9832
Fiat,Multipla,28_17,2000,13200
Fiat,Panda,28_18,2003,6152
